LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000000467-0001-5,LOUISIANA TO LOS ANGELES ORGANIZING COMMITTEE INC,LALA,9461 LA SALLE AVENUE,LOS ANGELES,90047-3836,9461 LA SALLE 90047-3836,9461 LA SALLE AVENUE,LOS ANGELES,90047-3836,722110,Full-service restaurants,8,02/05/2000,,POINT (-118.3061 33.9493)
0000001176-0001-7,KOREAN GARDENS RESTAURANT INC,YONGSUSAN RESTAURANT,950 S VERMONT AVENUE,LOS ANGELES,90006-1611,950 VERMONT 90006-1611,,,,722110,Full-service restaurants,10,07/15/1975,,POINT (-118.2916 34.054)
0000001228-0001-6,DIKRAN AND ANNY KESKERIAN TRS KESKERIAN FAMILY TRUST,,1611 W 12TH STREET,LOS ANGELES,90015-1951,1611 12TH 90015-1951,313 E BROADWAY UNIT #10715,GLENDALE,91209-7143,722110,Full-service restaurants,1,02/24/1992,,POINT (-118.2762 34.0463)
0000002505-0001-7,SOUTHSIDE PIZZA INC,DOMINOS PIZZA,950 W MANCHESTER AVENUE,LOS ANGELES,90044-4916,950 MANCHESTER 90044-4916,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,8,08/05/1996,,POINT (-118.2906 33.96)
0000002505-0002-5,SOUTHSIDE PIZZA INC,DOMINOS PIZZA,3631 CRENSHAW BLVD #113,LOS ANGELES,90016-4869,3631 CRENSHAW 90016-4869,5314 PAYLOR LANE,LAKEWOOD RANCH,34240-2202,722110,Full-service restaurants,10,04/15/1997,,POINT (-118.335 34.0228)
0000002859-0001-8,MOUY GAUV,CHINA BEAUTY,5465 N FIGUEROA STREET,LOS ANGELES,90042-4117,5465 FIGUEROA 90042,,,,722110,Full-service restaurants,1,01/15/2000,,POINT (-118.1959 34.108)
0000003564-0001-1,HAROUNI HAFCO INC,HAFCO/ASSOC,756 S LAKE STREET,LOS ANGELES,90057-4012,756 LAKE 90057-4012,6334 WILSHIRE BLVD,LOS ANGELES,90048-5002,722110,Full-service restaurants,1,02/29/1992,,POINT (-118.2784 34.056)
0000003647-0001-6,LUCKY SCOOPS CORPORATION,KANPAI JAPANESE SUSHI BAR & GRILL,8325 LINCOLN BLVD,LOS ANGELES,90045-2413,8325 LINCOLN 90045-2413,,,,722110,Full-service restaurants,11,06/01/2003,,POINT (-118.4212 33.9621)
0000003647-0002-4,LUCKY SCOOPS CORPORATION,,8736 S SEPULVEDA BLVD #C,LOS ANGELES,90045-4004,8736 SEPULVEDA 90045-4004,8325 LINCOLN BLVD,LOS ANGELES,90045-2413,722110,Full-service restaurants,11,03/15/2015,,POINT (-118.3961 33.958)
0000003783-0001-1,ALBERT QUAN TRAN,MISS DONUT,18231 SHERMAN WAY,RESEDA,91335-4551,18231 SHERMAN 91335-4551,,,,722110,Full-service restaurants,3,01/01/2000,,POINT (-118.5301 34.2011)
0000004317-0001-8,JOSE G TEPAZ,,7221 ATLANTIC AVENUE,CUDAHY,90201-4302,7221 ATLANTIC 90201-4302,,,,722110,Full-service restaurants,0,,,POINT (-118.1881 33.9699)
0000004337-0001-5,OUTLAWSRESTAURANT INC,,230 CULVER BLVD,PLAYA DEL REY,90293-7702,230 CULVER 90293-7702,,,,722110,Full-service restaurants,11,,,POINT (-118.4479 33.9592)
0000005367-0001-3,FRESHCO MANAGEMENT INC,POQUITO MAS | POQUITO MAS                         090109,21049 VENTURA BLVD,WOODLAND HILLS,91364-2202,21049 VENTURA 91364-2202,POST OFFICE BOX #24200,LOS ANGELES,90024-0200,722110,Full-service restaurants,3,06/09/2003,,POINT (-118.5917 34.1667)
0000005444-0001-1,THE R&J AMUSEMENT COMPANY LLC,GRIFFITH PARK MERRY-GO-ROUND,1153 DE LUZ ROAD,FALLBROOK,92028-9742,1153 DE LUZ 92028-9742,1153 DE LUZ ROAD,FALLBROOK,92028-9742,722110,Full-service restaurants,0,01/01/1976,,POINT (-117.2528 33.393)
0000005646-0001-6,MERIE S VILLATORO,CLEMEN'S RESTAURANT,3551 S WESTERN AVENUE,LOS ANGELES,90018-3825,3551 WESTERN 90018-3825,,,,722110,Full-service restaurants,8,06/23/2003,,POINT (-118.3088 34.0236)
0000005775-0001-1,PANDHER FAST FOOD INC,SUBWAY #2333,13632 FOOTHILL BLVD,SYLMAR,91342-3102,13632 FOOTHILL 91342-3102,,,,722110,Full-service restaurants,7,03/22/2000,,POINT (-118.4303 34.3075)
0000005775-0006-1,PANDHER FAST FOOD INC,SUBWAY,12771 VAN NUYS BLVD,PACOIMA,91331-1627,12771 VAN NUYS 91331-1627,,,,722110,Full-service restaurants,7,06/22/2002,,POINT (-118.4109 34.2742)
0000005775-0008-8,PANDHER FAST FOOD INC,,6576 VAN NUYS BLVD,VAN NUYS,91401-1426,6576 VAN NUYS 91401-1426,12771 VAN NUYS BLVD,PACOIMA,91331-1627,722110,Full-service restaurants,6,06/12/2019,,POINT (-118.448 34.1903)
0000006056-0001-8,DVC INC,FABROCINI'S,2960 N BEVERLY GLEN CIRCLE,LOS ANGELES,90077-1724,2960 BEVERLY GLEN 90077-1724,,,,722110,Full-service restaurants,5,03/15/2000,,POINT (-118.4445 34.1277)
